"strain","strain_norm","evcent_norm","pr_norm","closeness_norm","betweenness_norm","outd_norm","alld_norm"
"F1",0.0190822329886774,0.0123392131041648,3.03576608295941e-18,0.00607903198194041,0.077552285284742,0,0.144562625270619,0.0485104695561347
"F10",0.0272337163673547,0.0176102361853858,1.94289029309402e-16,0.0203721768534452,0.0705230201851873,0.352643671658898,0.100565304536083,0.0928026374117359
"F104",0.00343846031889266,0.00222342399079845,3.03576608295941e-18,0.00607903198194041,0.071657652120662,0,0.0754239784020619,0.0253098102032007
"F122",0.00263074281114445,0.00170112670714282,5.20417042793042e-18,0.00681227056696785,0.0749074902175522,0.0304394664010226,0.106850636069588,0.0379647153048011
"F147",0.00303168774992071,0.00196039117821034,3.03576608295941e-18,0.00607903198194041,0.0712741660170559,0,0.0754239784020619,0.0253098102032007
"F150",0.00296626321545767,0.00191808547565135,3.03576608295941e-18,0.00607903198194041,0.0712778875169523,0,0.0942799730025774,0.0316372627540009
"F151",0.00260359042393079,0.00168356906112126,3.03576608295941e-18,0.00607903198194041,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F152",0.00704676603433565,0.00455667572261858,3.03576608295941e-18,0.00607903198194041,0.0740621799980833,0,0.0817093099355671,0.0274189610534674
"F153",0.00260359042393065,0.00168356906112117,3.03576608295941e-18,0.00607903198194041,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F18",0.000572088159460762,0.000369931428787413,3.03576608295941e-18,0.00607903198194041,0.0775170552638863,0,0.0502826522680413,0.0168732068021338
"F19",0.00783305760950776,0.00506511827825738,3.03576608295941e-18,0.00607903198194041,0.0775346662723807,0,0.100565304536083,0.0337464136042676
"F2",0.00602801836429349,0.00389791924440765,3.03576608295941e-18,0.00607903198194041,0.0770924242114737,0,0.119421299136598,0.0400738661550678
"F20",0.000180630029802379,0.000116801447297373,3.03576608295941e-18,0.00607903198194041,0.0757407885108148,0,0.0439973207345361,0.0147640559518671
"F21",0.00729378220529694,0.00471640467967904,3.03576608295941e-18,0.00607903198194041,0.0757554995407697,0,0.0879946414690723,0.0295281119037342
"F3",0.00978586770079971,0.0063278709069834,3.03576608295941e-18,0.00607903198194041,0.0770902474432274,0,0.113135967603093,0.0379647153048011
"F47",0.000161602829818353,0.000104497820383386,3.03576608295941e-18,0.00607903198194041,0.0708745185465277,0,0.0188559946005155,0.00632745255080018
"F48",0.00174122162260973,0.00112593241449832,3.03576608295941e-18,0.00607903198194041,0.0708800385121457,0,0.0502826522680413,0.0168732068021338
"F6",0.00336602507658444,0.00217658492895368,3.03576608295941e-18,0.00607903198194041,0.0716557714411144,0,0.0691386468685568,0.023200659352934
"F60",0.0128802675664478,0.00832881384664809,3.03576608295941e-18,0.00607903198194041,0.0775500824702988,0,0.138277293737114,0.046401318705868
"F61",0.0103264727670305,0.0066774443097068,3.03576608295941e-18,0.00607903198194041,0.077545677216807,0,0.125706630670103,0.0421830170053345
"F67",0.000174556756272939,0.000112874264542393,3.03576608295941e-18,0.00607903198194041,0.0766014309929112,0,0.0439973207345361,0.0147640559518671
"F68",0.00011526332310829,7.453313811708e-05,3.03576608295941e-18,0.00607903198194041,0.0716426094478822,0,0.0251413261340206,0.0084366034010669
"F69",0.00011526332310829,7.453313811708e-05,3.03576608295941e-18,0.00607903198194041,0.0716426094478822,0,0.0251413261340206,0.0084366034010669
"F7",0.0025943024258836,0.00167756312946309,3.03576608295941e-18,0.00607903198194041,0.0712667241829637,0,0.0628533153350516,0.0210915085026672
"F76",0.0256689458129734,0.0165984029611982,3.03576608295941e-18,0.00607903198194041,0.0757786284229188,0,0.150847956804124,0.0506196204064014
"F79",0.0255298771041425,0.0165084764606988,3.03576608295941e-18,0.00607903198194041,0.0740842863118156,0,0.144562625270619,0.0485104695561347
"F87",0.00643456839955083,0.0041608081592177,3.03576608295941e-18,0.00607903198194041,0.0716614137759348,0,0.0879946414690723,0.0295281119037342
"F89",0.00181852868947801,0.00117592176182007,3.03576608295941e-18,0.00607903198194041,0.0712778875169523,0,0.0942799730025774,0.0316372627540009
