Unique_link_identifier,Tip_label,Taxonomy,Metabolic_category,Feeding_type_-_consumer,Environment,Feeding_Mode,Trophic_Level,d15N,Mean_mass_(g),Mobility,Trophic_Uniqueness,Trophic_Flexibility,
313,,Martialia_hyadesi,Invertebrate,carnivorous,pelagic,predator,4.54,6.55,330,3,0.153,0.2496,Error
314,,Cyclocardia_astartoides,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,7.07,3E-05,2,0.001,0.0356,Error
315,,Yolida_eightsi,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.48,0.023,2,0.001,0.0356,Error
316,,Laternula_elliptica,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.65,0.55,2,0.001,0.0356,Error
317,,Limopsis_lillei,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,7.19,0.0046,2,0.001,0.0356,Error
318,,Limopsis_marionensis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,8.26,0.35,2,0.001,0.0356,Error
319,,Lissarca_notorcadensis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.28,0.00056,2,0.001,0.0356,Error
320,,Propeleda_longicaudata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.88,0.012,2,0.001,0.0356,Error
321,,Cadulus_dalli_antarcticum,Invertebrate,detrivorous,benthic,deposit-feeder,2,3.48,0.0017,1,0.001,0.0356,Error
322,,Fissidentalium_majorinum,Invertebrate,detrivorous,benthic,deposit-feeder,2,7.22,0.13,1,0.001,0.0356,Error
323,,Cinachyra_antarctica,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,12.5,0.18,1,0,0.0356,Error
324,,Cinachyra_barbata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,9.2,0.18,1,0,0.0356,Error
325,,Bathydorus_spinosus,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,1.2,1,0,0.0356,Error
326,,Iophon_radiatus,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.58,2.3,1,0,0.0356,Error
327,,Kirkpatrickia_variolosa,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,11,45,1,0,0.0356,Error
