"Species" "Equal.Splits" "Fair.Proportion"
"1" "pellaea_calomelanos" 539.849988 390.568980248062
"2" "emilia_coccinea" 77.495312125 67.1226315858309
"3" "emilia_ukambensis" 77.495312125 67.1226315858309
"4" "blepharis_acanthodioides" 59.332749015625 60.7587442524976
"5" "duosperma_kilimandscharicum" 39.8330415078125 50.5920772524976
"6" "hypoestes_forskaolii" 39.8330415078125 50.5920772524976
"7" "hoslundia_opposita" 54.249414015625 53.9809649191642
"8" "iboza_spp." 54.249414015625 53.9809649191642
"9" "ocimum_spp." 54.249414015625 53.9809649191642
"10" "jasminum_spp." 69.99882803125 70.6476315858309
"11" "olea_spp." 69.99882803125 70.6476315858309
"12" "cordia_ovalis" 70.999414015625 76.665488728688
"13" "heliotropium_steudneri" 70.999414015625 76.665488728688
"14" "ipomoea_obscura" 76.999414015625 77.415488728688
"15" "solanum_dennekense" 44.4997070078125 44.0821553953547
"16" "solanum_incanum" 44.4997070078125 44.0821553953547
"17" "solanum_nigrum" 44.4997070078125 44.0821553953547
"18" "pavetta_assimilis" 100.9976560625 95.665488728688
"19" "achyranthes_aspera" 101.995312125 96.6961609975956
"20" "pupalia_lappacea" 101.995312125 96.6961609975956
"21" "ximenia_caffra" 147.49062425 124.946160997596
"22" "grewia_arborea" 41.8045410039063 35.8539796377408
"23" "grewia_bicolor" 41.8045410039063 35.8539796377408
"24" "grewia_trichocarpa" 41.8045410039063 35.8539796377408
"25" "hibiscus_lunariifolius" 23.3678018759766 36.1650905710741
"26" "hibiscus_spp." 23.3678018759766 36.1650905710741
"27" "pavonia_patens" 35.7356037519531 40.8317575710741
"28" "abutilon_spp." 32.9856032519531 39.6373124044075
"29" "sida_spp." 32.9856032519531 39.6373124044075
"30" "sclerocarya_birrea" 76.3045410039063 77.7706463044074
"31" "commiphora_merkeri" 43.6522705019531 42.4373129710741
"32" "commiphora_schimperi" 43.6522705019531 42.4373129710741
"33" "commiphora_trothae" 43.6522705019531 42.4373129710741
"34" "turraea_fischeri" 69.8045410039063 69.6873129710741
"35" "pappea_capensis" 47.6522705019531 56.9373129710741
"36" "allophylus_rubifolius" 47.6522705019531 56.9373129710741
"37" "kigelia_africana" 78.218164015625 65.9373129710741
"38" "boscia_augustifolia" 33.8878737539062 49.2150901377408
"39" "capparis_tomentosa" 33.8878737539062 49.2150901377408
"40" "maerua_cafra" 53.4424145078125 56.3817566377408
"41" "kedrostis_foetidissima" 101.984082007813 105.400710100261
"42" "ficus_glumosa" 50.4960205019531 46.9840434335941
"43" "ficus_ingens" 50.4960205019531 46.9840434335941
"44" "ficus_thonningii" 50.4960205019531 46.9840434335941
"45" "ziziphus_spp." 88.9920410039063 89.6507101002607
"46" "senna_didymobotrya" 84.9840820078125 74.273437372988
"47" "acacia_robusta" 25.2698380004883 35.5512147396547
"48" "acacia_senegal" 25.2698380004883 35.5512147396547
"49" "vachellia_seyal" 23.2698380004883 30.773437072988
"50" "vachellia_tortilis" 23.2698380004883 30.773437072988
"51" "vachellia_xanthophloea" 23.2698380004883 30.773437072988
"52" "albizia_harveyi" 52.4126860019531 52.0178805396547
"53" "crotalaria_spinosa" 52.4126860019531 53.073436122988
"54" "lonchocarpus_eriocalyx" 38.5396760009766 44.628992122988
"55" "indigofera_basiflora" 25.2698380004883 38.295659122988
"56" "indigofera_hochstetteri" 25.2698380004883 38.295659122988
"57" "acalypha_fruticosa" 65.6587095039063 63.5173783002607
"58" "croton_dichogamus" 38.8293547519531 48.6840443002607
"59" "croton_macrostachyus" 38.8293547519531 48.6840443002607
"60" "euphorbia_candelabrum" 65.6587095039063 63.5173783002607
"61" "phyllanthus_sepialis" 89.6507510078125 85.7673793002607
"62" "balanites_aegyptiacus" 107.968164015625 109.500710100261
"63" "combretum_molle" 134.745312125 123.19694069893
"64" "cissus_quadrangularis" 60.8726560625 60.7326549846446
"65" "cissus_rotundifolia" 60.8726560625 60.7326549846446
"66" "cyphostemma_spp." 110.745312125 89.2326549846446
"67" "rhoicissus_revoilii" 110.745312125 89.2326549846446
"68" "kalanchoe_spp." 181.9812485 134.91743759334
"69" "sansevieria_ehrenbergii" 55.057812125 53.6358722772628
"70" "sansevieria_suffruticosa" 55.057812125 53.6358722772628
"71" "albuca_spp." 100.11562425 74.6358722772628
"72" "aloe_macrosiphon" 80.11562425 56.6358722772628
"73" "aloe_secundiflora" 80.11562425 56.6358722772628
"74" "commelina_africana" 174.2312485 123.143015134406
"75" "aristida_spp." 121.245312125 106.833530868671
"76" "phragmites_mauritianus" 85.90507803125 76.420365602565
"77" "eragrostis_aspera" 29.8318847539063 28.445365602565
"78" "eragrostis_cilianensis" 29.8318847539063 28.445365602565
"79" "eragrostis_exasperata" 29.8318847539063 28.445365602565
"80" "eragrostis_tenuifolia" 29.8318847539063 28.445365602565
"81" "harpachne_schimperi" 48.6637695078125 42.648490602565
"82" "psilolemma_jaegeri" 48.6637695078125 42.648490602565
"83" "sporobolus_festivus" 29.8318847539063 24.6127763168507
"84" "sporobolus_fimbriatus" 29.8318847539063 24.6127763168507
"85" "sporobolus_ioclados" 29.8318847539063 24.6127763168507
"86" "sporobolus_pellucidus" 29.8318847539063 24.6127763168507
"87" "sporobolus_pyramidalis" 29.8318847539063 24.6127763168507
"88" "sporobolus_spicatus" 29.8318847539063 24.6127763168507
"89" "sporobolus_stapfianus" 29.8318847539063 24.6127763168507
"90" "eustachys_paspaloides" 11.8001663442383 22.8326838882793
"91" "cynodon_dactylon" 11.8001663442383 22.8326838882793
"92" "microchloa_kunthii" 18.2739436884766 25.4958783882793
"93" "chloris_gayana" 17.4475546884766 24.3940263882793
"94" "chloris_pycnothrix" 17.4475546884766 24.3940263882793
"95" "chloris_roxburghiana" 17.4475546884766 24.3940263882793
"96" "dinebra_retroflexa" 35.8110517539062 34.8627768882793
"97" "themeda_triandra" 18.3470518598633 30.5680305034308
"98" "heteropogon_contortus" 18.3470518598633 30.5680305034308
"99" "bothriochloa_insculpta" 27.7816047197266 35.0242815034308
"100" "cymbopogon_caesius" 37.7382084394531 40.9659481700975
"101" "diheteropogon_amplectens" 25.8472289697266 32.7819890367641
"102" "hyparrhenia_filipendula" 17.4236144848633 29.3257390367641
"103" "hyparrhenia_rufa" 17.4236144848633 29.3257390367641
"104" "andropogon_greenwayi" 22.8909794697266 30.9778228700975
"105" "andropogon_schirensis" 22.8909794697266 30.9778228700975
"106" "sorghum_versicolor" 61.8278307578125 59.0503205034308
"107" "hyperthelia_dissoluta" 75.180663515625 70.5928214034308
"108" "panicum_coloratum" 23.6972290009766 27.075040751977
"109" "panicum_deustum" 23.6972290009766 27.075040751977
"110" "panicum_maximum" 23.6972290009766 27.075040751977
"111" "panicum_repens" 23.6972290009766 27.075040751977
"112" "pennisetum_mezianum" 23.1972290009766 29.731290751977
"113" "pennisetum_stramineum" 23.1972290009766 29.731290751977
"114" "eriochloa_fatmensis" 18.7496565004883 29.078513251977
"115" "tricholaena_teneriffae" 18.7496565004883 29.078513251977
"116" "brachiaria_semiundulata" 28.3326460009766 33.661846751977
"117" "cenchrus_ciliaris" 28.5409790009766 33.9396240853103
"118" "setaria_pallidefusca" 19.2704895004883 29.5646240853103
"119" "setaria_sphacelata" 19.2704895004883 29.5646240853103
"120" "echinochloa_haploclada" 62.0778320078125 58.637540751977
"121" "digitaria_velutina" 43.1403320078125 28.2080535724898
"122" "digitaria_abyssinica" 43.1403320078125 28.2080535724898
"123" "digitaria_diagonalis" 43.1403320078125 28.2080535724898
"124" "digitaria_macroblephara" 43.1403320078125 28.2080535724898
"125" "digitaria_milanjiana" 43.1403320078125 28.2080535724898
"126" "digitaria_ternata" 43.1403320078125 28.2080535724898
"127" "cyperus_spp." 88.7789060625 88.715742407133
"128" "kyllinga_nervosa" 88.7789060625 88.715742407133
"129" "typha_capensis" 124.557812125 115.215742407133
"130" "Pedetes_capensis" 142.28125 114.235811781609
"131" "Rhabdomys_pumilio" 142.28125 114.235811781609
"132" "Papio_anubis" 207.3625 121.585811781609
"133" "Alcelaphus_buselaphus" 22.93291015625 50.2071199587262
"134" "Connochaetes_taurinus" 22.93291015625 50.2071199587262
"135" "Damaliscus_korrigum" 22.93291015625 50.2071199587262
"136" "Aepyceros_melampus" 31.1658203125 54.9404532920595
"137" "Nanger_granti" 18.63291015625 47.0904532920595
"138" "Eudorcas_thomsonii" 18.63291015625 47.0904532920595
"139" "Kobus_ellipsiprymnus" 25.18291015625 53.6404532920595
"140" "Redunca_redunca" 25.18291015625 53.6404532920595
"141" "Madoqua_kirkii" 31.1658203125 54.9404532920595
"142" "Ourebia_ourebi" 31.1658203125 54.9404532920595
"143" "Syncerus_caffer" 30.9158203125 55.7037866253929
"144" "Taurotragus_oryx" 23.95791015625 53.5537866253929
"145" "Tragelaphus_scriptus" 23.95791015625 53.5537866253929
"146" "Giraffa_camelopardalis" 54.56328125 59.4473763689826
"147" "Hippopotamus_amphibius" 82.3265625 89.8116620832683
"148" "Phacochoerus_africanus" 105.153125 95.5049954166016
"149" "Equus_quagga" 144.70625 113.973745416602
"150" "Canis_aureus" 35.1265625 53.7178630636605
"151" "Canis_mesomelas" 35.1265625 53.7178630636605
"152" "Lycaon_pictus" 68.753125 54.6678630636605
"153" "Panthera_leo" 18.762890625 49.6378630636605
"154" "Panthera_pardus" 18.762890625 49.6378630636605
"155" "Caracal_caracal" 20.562890625 51.4378630636605
"156" "Leptailurus_serval" 20.562890625 51.4378630636605
"157" "Acinonyx_jubatus" 52.1515625 56.8878630636605
"158" "Crocuta_crocuta" 87.003125 74.9678630636605
"159" "Heterohyrax_brucei" 163.1125 80.559375
"160" "Procavia_capensis" 163.1125 80.559375
"161" "Loxodonta_africana" 312.625 111.659375
