"Food_Web","Mode","Rank","variable","value","Kind"
"Serengeti_deVisser","out",2,"ZeroAICC",0.403149967993497,"Strain"
"Serengeti_deVisser","out",3,"ZeroAICC",0.532958383906393,"Strain"
"Serengeti_deVisser","out",4,"ZeroAICC",0.282871853877837,"Strain"
"Serengeti_deVisser","out",5,"ZeroAICC",0.754137018536989,"Strain"
"Serengeti_deVisser","out",6,"ZeroAICC",0.730821625637535,"Strain"
"Serengeti_deVisser","out",7,"ZeroAICC",0.748362132786694,"Strain"
"Serengeti_deVisser","out",8,"ZeroAICC",0.559819583497167,"Strain"
"Serengeti_deVisser","out",9,"ZeroAICC",0.0143262946509467,"Strain"
"Serengeti_deVisser","out",10,"ZeroAICC",0.757168761660135,"Strain"
"Serengeti_deVisser","out",11,"ZeroAICC",1.13046166037818e-08,"Strain"
"Serengeti_deVisser","out",12,"ZeroAICC",0.0137721740072281,"Strain"
"Serengeti_deVisser","out",13,"ZeroAICC",5.23350242273479e-10,"Strain"
"Serengeti_deVisser","out",14,"ZeroAICC",0.0366391817403419,"Strain"
"Serengeti_deVisser","out",15,"ZeroAICC",0.753845787916657,"Strain"
"Serengeti_deVisser","in",2,"ZeroAICC",0.758021060415438,"Strain"
"Serengeti_deVisser","in",3,"ZeroAICC",0.759679777679245,"Strain"
"Serengeti_deVisser","in",4,"ZeroAICC",0.453629076137964,"Strain"
"Serengeti_deVisser","in",5,"ZeroAICC",0.753874790834568,"Strain"
"Serengeti_deVisser","in",6,"ZeroAICC",0.682427713983291,"Strain"
"Serengeti_deVisser","in",7,"ZeroAICC",0.748051032157368,"Strain"
"Serengeti_deVisser","in",8,"ZeroAICC",0.740682528490344,"Strain"
"Serengeti_deVisser","in",9,"ZeroAICC",0.644002614414372,"Strain"
"Serengeti_deVisser","in",10,"ZeroAICC",0.746261331020726,"Strain"
"Serengeti_deVisser","in",11,"ZeroAICC",2.62536299582398e-06,"Strain"
"Serengeti_deVisser","in",12,"ZeroAICC",0.00576557098796915,"Strain"
"Serengeti_deVisser","in",13,"ZeroAICC",1.19429322886529e-05,"Strain"
"Serengeti_deVisser","in",14,"ZeroAICC",0.0128644220378375,"Strain"
"Serengeti_deVisser","in",15,"ZeroAICC",0.754764619023121,"Strain"
"Serengeti_deVisser","all",1,"ZeroAICC",0.751199697288883,"Strain"
"Serengeti_deVisser","all",2,"ZeroAICC",0.757635895231125,"Strain"
"Serengeti_deVisser","all",3,"ZeroAICC",0.759051827989082,"Strain"
"Serengeti_deVisser","all",4,"ZeroAICC",0.407685852606182,"Strain"
"Serengeti_deVisser","all",5,"ZeroAICC",0.753967271828695,"Strain"
"Serengeti_deVisser","all",6,"ZeroAICC",0.70811045087801,"Strain"
"Serengeti_deVisser","all",7,"ZeroAICC",0.748787407025574,"Strain"
