"Food_Web","Measure","Species","Distinctiveness"
"Serengeti_Baskerville","PE","duosperma_kilimandscharicum",20.333334
"Serengeti_Baskerville","PE","duosperma_to_hypoestes",20.333334
"Serengeti_Baskerville","PE","echinochloa_haploclada",48.875
"Serengeti_Baskerville","PE","echinochloa_to_others",12.625
"Serengeti_Baskerville","PE","emilia",98
"Serengeti_Baskerville","PE","emilia_coccinea",10
"Serengeti_Baskerville","PE","emilia_ukambensis",10
"Serengeti_Baskerville","PE","Equus_quagga",85.3
"Serengeti_Baskerville","PE","eragrostideae_to_others",18.9375
"Serengeti_Baskerville","PE","eragrostis",18.9375
"Serengeti_Baskerville","PE","eragrostis_aspera",11
"Serengeti_Baskerville","PE","eragrostis_cilianensis",11
"Serengeti_Baskerville","PE","eragrostis_exasperata",11
"Serengeti_Baskerville","PE","eragrostis_tenuifolia",11
"Serengeti_Baskerville","PE","eragrostis_to_harpachne_to_psilolemma",18.9375
"Serengeti_Baskerville","PE","eriochloa_fatmensis",9.166667
"Serengeti_Baskerville","PE","eriochloa_to_tricholaena",9.166667
"Serengeti_Baskerville","PE","eudicot_to_monocot",239.799988
"Serengeti_Baskerville","PE","Eudorcas_thomsonii",6.1
"Serengeti_Baskerville","PE","euphorbia_candelabrum",41.666668
"Serengeti_Baskerville","PE","euphorbiaceae_to_phyllanthaceae",29.666666
"Serengeti_Baskerville","PE","eustachys_paspaloides",5.326389
"Serengeti_Baskerville","PE","eustachys_to_cynodon",5.326389
"Serengeti_Baskerville","PE","fabales_to_others",8
"Serengeti_Baskerville","PE","fabids",4
"Serengeti_Baskerville","PE","ficus",64
"Serengeti_Baskerville","PE","ficus_glumosa",12
"Serengeti_Baskerville","PE","ficus_ingens",12
"Serengeti_Baskerville","PE","ficus_thonningii",12
"Serengeti_Baskerville","PE","gentiales_to_others",1
"Serengeti_Baskerville","PE","Giraffa_camelopardalis",26.8
"Serengeti_Baskerville","PE","grewia",28
"Serengeti_Baskerville","PE","grewia_arborea",11
"Serengeti_Baskerville","PE","grewia_bicolor",11
"Serengeti_Baskerville","PE","grewia_trichocarpa",11
"Serengeti_Baskerville","PE","grewioideae_to_malvoideae",60
"Serengeti_Baskerville","PE","harpachne_schimperi",29.9375
"Serengeti_Baskerville","PE","heliotropium_steudneri",50
"Serengeti_Baskerville","PE","Heterohyrax_brucei",13.6
"Serengeti_Baskerville","PE","heteropogon_contortus",8.9125
"Serengeti_Baskerville","PE","hibisceae_to_malveae",9.333333
"Serengeti_Baskerville","PE","hibiscus",9.333334
"Serengeti_Baskerville","PE","hibiscus_lunariifolius",11
"Serengeti_Baskerville","PE","hibiscus_spp.",11
"Serengeti_Baskerville","PE","hibiscus_to_pavonia",9.333332
"Serengeti_Baskerville","PE","Hippopotamus_amphibius",59.5
"Serengeti_Baskerville","PE","hoslundia_opposita",30.5
"Serengeti_Baskerville","PE","hoslundia_to_iboza_to_ocimum",30.5
"Serengeti_Baskerville","PE","hyparrhenia",6.9125
"Serengeti_Baskerville","PE","hyparrhenia_filipendula",9
"Serengeti_Baskerville","PE","hyparrhenia_rufa",9
"Serengeti_Baskerville","PE","hyperthelia_dissoluta",61.299999
"Serengeti_Baskerville","PE","hyperthelia_to_others",12.825001
"Serengeti_Baskerville","PE","hypoestes_forskaolii",20.333334
"Serengeti_Baskerville","PE","iboza_spp.",30.5
"Serengeti_Baskerville","PE","indigofera",12.666666
"Serengeti_Baskerville","PE","indigofera_basiflora",12
"Serengeti_Baskerville","PE","indigofera_hochstetteri",12
"Serengeti_Baskerville","PE","ipomoea_obscura",62
"Serengeti_Baskerville","PE","jasminoideae_to_oleoideae",29
"Serengeti_Baskerville","PE","jasminum_spp.",45
"Serengeti_Baskerville","PE","kalanchoe_spp.",128
"Serengeti_Baskerville","PE","kedrostis_foetidissima",97
"Serengeti_Baskerville","PE","kigelia_africana",43
"Serengeti_Baskerville","PE","Kobus_ellipsiprymnus",19.2
"Serengeti_Baskerville","PE","kyllinga_nervosa",53
"Serengeti_Baskerville","PE","lamiales_to_others",21
"Serengeti_Baskerville","PE","Leptailurus_serval",9.4
"Serengeti_Baskerville","PE","lonchocarpus_eriocalyx",24.666666
"Serengeti_Baskerville","PE","Loxodonta_africana",75.8
"Serengeti_Baskerville","PE","Lycaon_pictus",3.4
"Serengeti_Baskerville","PE","Madoqua_kirkii",21.8
"Serengeti_Baskerville","PE","maerua_cafra",28.666666
"Serengeti_Baskerville","PE","malpighiales_to_zygophyllales",6
"Serengeti_Baskerville","PE","malvales_to_sapindales",5
"Serengeti_Baskerville","PE","malvids_to_fabids",5
"Serengeti_Baskerville","PE","meliaceae_to_sapindaceae",20
"Serengeti_Baskerville","PE","microchloa_kunthii",10.652778
"Serengeti_Baskerville","PE","microchloa_to_others",5.326389
"Serengeti_Baskerville","PE","millettieae_to_indigofereae",12.666666
"Serengeti_Baskerville","PE","mimosideae_to_faboideae",13
"Serengeti_Baskerville","PE","moraceae_to_rhamnaceae",21
"Serengeti_Baskerville","PE","myrtales_to_others",9
"Serengeti_Baskerville","PE","Nanger_granti",6.1
"Serengeti_Baskerville","PE","nephelieae_to_paullinieae",25.5
"Serengeti_Baskerville","PE","nolinoideae_to_scilloideae",12
"Serengeti_Baskerville","PE","ocimum_spp.",30.5
"Serengeti_Baskerville","PE","olea_spp.",45
"Serengeti_Baskerville","PE","oleaceae_to_others",13
"Serengeti_Baskerville","PE","Ourebia_ourebi",21.8
"Serengeti_Baskerville","PE","panicoideae_to_others",12.625
"Serengeti_Baskerville","PE","panicum",12.625
"Serengeti_Baskerville","PE","panicum_coloratum",11
"Serengeti_Baskerville","PE","panicum_deustum",11
"Serengeti_Baskerville","PE","panicum_maximum",11
"Serengeti_Baskerville","PE","panicum_repens",11
"Serengeti_Baskerville","PE","panicum_to_pennisetum",12.625
"Serengeti_Baskerville","PE","panicum_to_setaria",12.625
"Serengeti_Baskerville","PE","Panthera_leo",5.8
"Serengeti_Baskerville","PE","Panthera_pardus",5.8
"Serengeti_Baskerville","PE","Papio_anubis",91.9
"Serengeti_Baskerville","PE","pappea_capensis",25.5
"Serengeti_Baskerville","PE","pavetta_assimilis",86
"Serengeti_Baskerville","PE","pavonia_patens",20.333334
"Serengeti_Baskerville","PE","Pedetes_capensis",77.2
"Serengeti_Baskerville","PE","pellaea_calomelanos",385.799988
"Serengeti_Baskerville","PE","pennisetum",13.625
