"Species","w.x","w.y"
"1","abutilon_spp.",39.6373124044075,33.0605788378906
"2","acacia_robusta",35.5512147396547,25.2885818969727
"3","acacia_senegal",35.5512147396547,25.2885818969727
"4","acalypha_fruticosa",63.5173783002607,65.8086606757813
"5","achyranthes_aspera",96.6961609975956,106.793749625
"6","Acinonyx_jubatus",56.8878630636605,52.1515625
"7","Aepyceros_melampus",54.9404532920595,31.1658203125
"8","albizia_harveyi",52.0178805396547,52.4876615878906
"9","albuca_spp.",74.6358722772628,109.71249925
"10","Alcelaphus_buselaphus",50.2071199587262,22.93291015625
"11","allophylus_rubifolius",56.9373129710741,47.7272460878906
"12","aloe_macrosiphon",56.6358722772628,89.71249925
"13","aloe_secundiflora",56.6358722772628,89.71249925
"14","andropogon_greenwayi",30.9778228700975,22.9284672626953
"15","andropogon_schirensis",30.9778228700975,22.9284672626953
"16","aristida_spp.",106.833530868671,126.043749625
"17","balanites_aegyptiacus",109.500710100261,108.567968703125
"18","blepharis_acanthodioides",60.7587442524976,59.932553703125
"19","boscia_augustifolia",49.2150901377408,34.0378249257813
"20","bothriochloa_insculpta",35.0242815034308,27.8190925126953
"21","brachiaria_semiundulata",33.661846751977,28.3701337939453
"22","Canis_aureus",53.7178630636605,35.1265625
"23","Canis_mesomelas",53.7178630636605,35.1265625
"24","capparis_tomentosa",49.2150901377408,34.0378249257813
"25","Caracal_caracal",51.4378630636605,20.562890625
"26","cenchrus_ciliaris",33.9396240853103,28.5784667939453
"27","chloris_gayana",24.3940263882793,17.4850424814453
"28","chloris_pycnothrix",24.3940263882793,17.4850424814453
"29","chloris_roxburghiana",24.3940263882793,17.4850424814453
"30","cissus_quadrangularis",60.7326549846446,63.2718748125
"31","cissus_rotundifolia",60.7326549846446,63.2718748125
"32","combretum_molle",123.19694069893,139.543749625
"33","commelina_africana",123.143015134406,193.4249985
"34","commiphora_merkeri",42.4373129710741,43.7272460878906
"35","commiphora_schimperi",42.4373129710741,43.7272460878906
"36","commiphora_trothae",42.4373129710741,43.7272460878906
"37","Connochaetes_taurinus",50.2071199587262,22.93291015625
"38","cordia_ovalis",76.665488728688,71.599218703125
"39","Crocuta_crocuta",74.9678630636605,87.003125
"40","crotalaria_spinosa",53.073436122988,52.4876615878906
"41","croton_dichogamus",48.6840443002607,38.9043303378906
"42","croton_macrostachyus",48.6840443002607,38.9043303378906
"43","cymbopogon_caesius",40.9659481700975,37.8131840253906
"44","cynodon_dactylon",22.8326838882793,11.8189102407227
"45","cyperus_spp.",88.715742407133,91.1781248125
"46","cyphostemma_spp.",89.2326549846446,115.543749625
"47","Damaliscus_korrigum",50.2071199587262,22.93291015625
"48","digitaria_abyssinica",28.2080535724898,43.4402343515625
"49","digitaria_diagonalis",28.2080535724898,43.4402343515625
"50","digitaria_macroblephara",28.2080535724898,43.4402343515625
"51","digitaria_milanjiana",28.2080535724898,43.4402343515625
"52","digitaria_ternata",28.2080535724898,43.4402343515625
"53","digitaria_velutina",28.2080535724898,43.4402343515625
"54","diheteropogon_amplectens",32.7819890367641,25.8847167626953
"55","dinebra_retroflexa",34.8627768882793,35.9610029257813
"56","duosperma_kilimandscharicum",50.5920772524976,40.1329438515625
"57","echinochloa_haploclada",58.637540751977,62.3777343515625
"58","emilia_coccinea",67.1226315858309,82.293749625
"59","emilia_ukambensis",67.1226315858309,82.293749625
"60","Equus_quagga",113.973745416602,144.70625
"61","eragrostis_aspera",28.445365602565,29.9818359257813
"62","eragrostis_cilianensis",28.445365602565,29.9818359257813
"63","eragrostis_exasperata",28.445365602565,29.9818359257813
"64","eragrostis_tenuifolia",28.445365602565,29.9818359257813
"65","eriochloa_fatmensis",29.078513251977,18.7684003969727
"66","Eudorcas_thomsonii",47.0904532920595,18.63291015625
"67","euphorbia_candelabrum",63.5173783002607,65.8086606757813
"68","eustachys_paspaloides",22.8326838882793,11.8189102407227
"69","ficus_glumosa",46.9840434335941,50.5709960878906
"70","ficus_ingens",46.9840434335941,50.5709960878906
"71","ficus_thonningii",46.9840434335941,50.5709960878906
"72","Giraffa_camelopardalis",59.4473763689826,54.56328125
"73","grewia_arborea",35.8539796377408,41.9544921757813
"74","grewia_bicolor",35.8539796377408,41.9544921757813
"75","grewia_trichocarpa",35.8539796377408,41.9544921757813
"76","harpachne_schimperi",42.648490602565,48.9636718515625
"77","heliotropium_steudneri",76.665488728688,71.599218703125
"78","Heterohyrax_brucei",80.559375,163.1125
"79","heteropogon_contortus",30.5680305034308,18.3657957563477
"80","hibiscus_lunariifolius",36.1650905710741,23.4052896689453
"81","hibiscus_spp.",36.1650905710741,23.4052896689453
"82","Hippopotamus_amphibius",89.8116620832683,82.3265625
"83","hoslundia_opposita",53.9809649191642,54.849218703125
"84","hyparrhenia_filipendula",29.3257390367641,17.4423583813477
"85","hyparrhenia_rufa",29.3257390367641,17.4423583813477
"86","hyperthelia_dissoluta",70.5928214034308,75.780468203125
"87","hypoestes_forskaolii",50.5920772524976,40.1329438515625
"88","iboza_spp.",53.9809649191642,54.849218703125
"89","indigofera_basiflora",38.295659122988,25.2885818969727
"90","indigofera_hochstetteri",38.295659122988,25.2885818969727
"91","ipomoea_obscura",77.415488728688,77.599218703125
"92","jasminum_spp.",70.6476315858309,71.19843740625
"93","kalanchoe_spp.",134.91743759334,201.1749985
"94","kedrostis_foetidissima",105.400710100261,102.283984351562
"95","kigelia_africana",65.9373129710741,78.817968703125
"96","Kobus_ellipsiprymnus",53.6404532920595,25.18291015625
"97","kyllinga_nervosa",88.715742407133,91.1781248125
